Year of Diagnosis,"female Rate per 100,000",female Modeled Rate (Trend Line),"male Rate per 100,000",male Modeled Rate (Trend Line)
1975,106,103.5,NA,NA
1976,102.1,103.3,NA,NA
1977,101.7,103.2,NA,NA
1978,102,103,NA,NA
1979,102.6,102.9,NA,NA
1980,103.2,102.7,NA,NA
1981,105.1,102.5,NA,NA
1982,105.3,106.9,NA,NA
1983,110,111.5,NA,NA
1984,115.7,116.3,NA,NA
1985,123.8,121.3,NA,NA
1986,126.9,126.6,NA,NA
1987,134,132,NA,NA
1988,131.1,131.7,NA,NA
1989,127.2,131.4,NA,NA
1990,131,131.1,NA,NA
1991,132.1,130.8,NA,NA
1992,131.3,130.5,NA,NA
1993,128.8,130.2,NA,NA
1994,131.3,129.9,NA,NA
1995,132,132.5,NA,NA
1996,134.5,135.1,NA,NA
1997,137.9,137.7,NA,NA
1998,141.6,140.4,NA,NA
1999,142.3,143.2,NA,NA
2000,136.6,139.8,NA,NA
2001,139.4,136.4,NA,NA
2002,136.7,133.2,NA,NA
2003,126.7,130,NA,NA
2004,128.1,126.9,NA,NA
2005,127,127.4,NA,NA
2006,126.3,127.9,NA,NA
2007,128.8,128.4,NA,NA
2008,129.5,128.9,NA,NA
2009,130.6,129.4,NA,NA
2010,127.8,129.9,NA,NA
2011,131,130.4,NA,NA
2012,130,130.9,NA,NA
2013,131.1,131.4,NA,NA
2014,132.4,131.9,NA,NA
2015,132.9,132.4,NA,NA
2016,132.7,132.9,NA,NA
2017,134,133.4,NA,NA
2018,135.5,136.1,NA,NA
2019,138.6,138.8,NA,NA
2020,125.6,141.6,NA,NA
2021,144.6,144.4,NA,NA
